Engine,Time,Memory_MB,Threads
Polars,1.3680267333984375,11.3046875,4
DuckDB,1.3908698558807373,13.4296875,4
PySpark,5.865806341171265,1.10546875,4
Polars,1.2736866474151611,3.95703125,4
DuckDB,1.389857530593872,0.97265625,4
PySpark,2.930633783340454,0.55078125,4
